Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2015,House,3 Bedrooms,850,950,"1,100",s,102,13.77%,4.97%,-31.82%,25.00%
2015,House,4 or more Bedrooms,1175,1350,1400,s,53,31.71%,5.88%,37.50%,37.50%
2015,Other,Total,-,-,-,-,143,-,-,-,-
2015,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2015,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2015,Other,Not Specified,-,-,-,-,67,-,-,-,-
2015,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2015,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2015,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2015,Townhouse,Total,800,"1,100","1,250",s,271,38.36%,29.41%,-32.26%,23.53%
2015,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2015,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2015,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2015,Townhouse,2 Bedrooms,-,-,-,-,89,-,-,-,-
2015,Townhouse,3 Bedrooms,-,-,-,-,120,-,-,-,-
2015,Townhouse,4 or more Bedrooms,-,-,-,-,43,-,-,-,-
2015,Flat/Unit,Total,450,520,633,255,1753,-3.70%,-10.34%,-5.90%,43.26%
2015,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2015,Flat/Unit,1 Bedroom,400,450,500,120,798,-7.22%,-10.89%,-4.00%,51.90%
2015,Flat/Unit,Not Specified,-,-,-,-,41,-,-,-,-
2015,Flat/Unit,2 Bedrooms,520,600,680,105,758,1.69%,-7.69%,-15.32%,29.63%
2015,Flat/Unit,3 Bedrooms,650,790,900,s,125,1.28%,-24.76%,47.06%,127.27%
2015,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2016,Total,Total,450,560,700,357,2853,-6.67%,-6.67%,-6.79%,-11.63%
2016,Total,Bedsitter,298,340,365,s,113,3.03%,-8.11%,-21.43%,120.00%
2016,Total,1 Bedroom,360,449,525,129,1071,-2.92%,-7.33%,0.78%,-39.72%
2016,Total,Not Specified,-,-,-,-,182,-,-,-,-
2016,Total,2 Bedrooms,560,613,724,126,934,-3.16%,-12.50%,-4.55%,29.90%
2016,Total,3 Bedrooms,650,750,903,60,412,-1.64%,-14.77%,0.00%,1.69%
2016,Total,4 or more Bedrooms,650,850,1100,s,141,-15.00%,-30.04%,-43.24%,10.53%
2016,House,Total,598,695,800,75,433,-3.47%,-12.58%,-24.24%,36.36%
2016,House,Bedsitter,-,-,-,-,s,-,-,-,-
2016,House,1 Bedroom,-,-,-,-,32,-,-,-,-
2016,House,Not Specified,-,-,-,-,-,-,-,-,-
2016,House,2 Bedrooms,600,650,750,s,167,0.00%,-8.45%,-35.90%,13.64%
2016,House,3 Bedrooms,650,770,953,s,144,-2.84%,-17.87%,27.27%,40.00%
2016,House,4 or more Bedrooms,310,795,1023,s,76,-22.44%,-34.57%,-31.82%,66.67%
2016,Other,Total,320,430,545,s,411,-13.57%,-9.47%,15.00%,-80.34%
2016,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2016,Other,1 Bedroom,298,400,475,s,202,14.29%,-15.25%,180.00%,-86.79%
2016,Other,Not Specified,-,-,-,-,113,-,-,-,-
2016,Other,2 Bedrooms,-,-,-,-,40,-,-,-,-
2016,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2016,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2016,Townhouse,Total,640,730,923,35,226,-16.57%,-17.75%,34.62%,25.00%
2016,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2016,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2016,Townhouse,2 Bedrooms,620,650,730,s,80,2.36%,-7.14%,550.00%,85.71%
2016,Townhouse,3 Bedrooms,700,800,995,s,85,0.63%,-12.57%,44.44%,-13.33%
2016,Townhouse,4 or more Bedrooms,-,-,-,-,42,-,-,-,-
2016,Flat/Unit,Total,414,527,611,224,1783,-4.18%,-13.18%,-5.88%,9.80%
2016,Flat/Unit,Bedsitter,-,-,-,-,72,-,-,-,-
2016,Flat/Unit,1 Bedroom,363,440,529,108,824,-7.96%,-18.61%,1.89%,4.85%
2016,Flat/Unit,Not Specified,-,-,-,-,60,-,-,-,-
2016,Flat/Unit,2 Bedrooms,550,600,700,86,647,-3.23%,-14.29%,-3.37%,34.38%
2016,Flat/Unit,3 Bedrooms,670,710,750,s,164,-4.70%,-19.09%,-32.14%,-20.83%
2016,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2017,Total,Total,500,580,650,"1,565",8317,-3.33%,-17.14%,-11.08%,53.73%
2017,Total,Bedsitter,-,-,-,-,61,-,-,-,-
2017,Total,1 Bedroom,430,470,500,523,2816,-6.00%,-18.26%,-6.61%,39.84%
2017,Total,Not Specified,500,545,638,s,188,-0.91%,-22.14%,-40.74%,-44.83%
2017,Total,2 Bedrooms,570,600,650,875,"4,462",-4.76%,-20.00%,-11.71%,72.58%
2017,Total,3 Bedrooms,750,800,875,133,730,0.00%,-20.00%,-17.90%,49.44%
2017,Total,4 or more Bedrooms,-,-,-,-,60,-,-,-,-
2017,House,Total,550,650,788,46,223,-3.35%,-13.33%,9.52%,76.92%
2017,House,Bedsitter,-,-,-,-,-,-,-,-,-
2017,House,1 Bedroom,-,-,-,-,41,-,-,-,-
2017,House,Not Specified,-,-,-,-,-,-,-,-,-
2017,House,2 Bedrooms,565,650,738,s,107,0.00%,-13.33%,28.57%,170.00%
2017,House,3 Bedrooms,-,-,-,-,48,-,-,-,-
2017,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2017,Other,Total,435,500,623,s,200,-15.25%,-20.63%,10.00%,37.50%
2017,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2017,Other,1 Bedroom,-,-,-,-,43,-,-,-,-
2017,Other,Not Specified,-,-,-,-,49,-,-,-,-
2017,Other,2 Bedrooms,-,-,-,-,84,-,-,-,-
2017,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2017,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2017,Townhouse,Total,593,718,956,s,324,-2.71%,-15.59%,22.22%,46.67%
2017,Townhouse,1 Bedroom,-,-,-,-,65,-,-,-,-
2017,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2017,Townhouse,2 Bedrooms,-,-,-,-,189,-,-,-,-
2017,Townhouse,3 Bedrooms,-,-,-,-,39,-,-,-,-
2017,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2017,Flat/Unit,Total,500,580,650,"1,475",7570,-3.33%,-17.14%,-12.20%,53.49%
2017,Flat/Unit,Bedsitter,-,-,-,-,46,-,-,-,-
2017,Flat/Unit,1 Bedroom,430,470,505,503,2667,-6.00%,-18.26%,-8.38%,38.19%
2017,Flat/Unit,Not Specified,500,560,620,s,133,-0.88%,-21.13%,-40.91%,-45.83%
2017,Flat/Unit,2 Bedrooms,570,600,650,831,4082,-4.76%,-20.00%,-12.71%,70.99%
2017,Flat/Unit,3 Bedrooms,750,800,860,118,633,0.00%,-21.57%,-19.18%,59.46%
2017,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,Total,Total,450,550,650,481,3454,0.00%,-15.38%,-17.07%,43.58%
2018,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2018,Total,1 Bedroom,400,450,480,116,767,-2.17%,-18.18%,-26.11%,38.10%
2018,Total,Not Specified,-,-,-,-,127,-,-,-,-
2018,Total,2 Bedrooms,485,550,600,263,"1,899",-5.17%,-17.91%,-19.57%,46.93%
2018,Total,3 Bedrooms,700,750,820,81,564,-6.25%,-16.67%,1.25%,55.77%
2018,Total,4 or more Bedrooms,750,875,1100,s,83,2.94%,-3.85%,38.46%,50.00%
2018,House,Total,625,750,873,35,311,1.35%,-1.96%,2.94%,-2.78%
2018,House,Bedsitter,-,-,-,-,-,-,-,-,-
